TEAMNAME,NAME,DEBUTDATE 
India,Harbhajan Singh,India v New Zealand at Sharjah, 1997/98
India,GK Khoda,India v Bangladesh at Mohali, 1998
India,MSK Prasad,India v Bangladesh at Mohali, 1998
India,N Chopra,India v Kenya at Gwalior, 1998
India,JV Paranjpe,India v Kenya at Gwalior, 1998
India,SS Raul,India v Pakistan at Toronto, 1998
India,LR Shukla,India v Sri Lanka at Nagpur, 1998/99
India,GK Pandey,India v Pakistan at Jaipur, 1998/99
India,AR Khurasiya,India v Sri Lanka at Pune, 1998/99
India,S Ramesh,India v Sri Lanka at Pune, 1998/99
India,V Sehwag,India v Pakistan at Mohali, 1998/99
India,JJ Martin,India v West Indies at Toronto, 1999
India,R Vijay Bharadwaj,India v South Africa at Nairobi (Gym), 1999/00
India,T Kumaran,India v New Zealand at Guwahati, 1999/00
India,DJ Gandhi,India v New Zealand at Delhi, 1999/00
India,SS Dighe,India v Pakistan at Brisbane, 1999/00
India,S Sriram,India v South Africa at Nagpur, 1999/00
India,HK Badani,Bangladesh v India at Dhaka, 2000
India,A Bhandari,India v Pakistan at Dhaka, 2000
India,V Dahiya,Kenya v India at Nairobi (Gym), 2000/01
India,Z Khan,Kenya v India at Nairobi (Gym), 2000/01
India,Yuvraj Singh,Kenya v India at Nairobi (Gym), 2000/01
India,RS Sodhi,India v Zimbabwe at Cuttack, 2000/01
India,D Mongia,India v Australia at Pune, 2000/01
India,A Nehra,Zimbabwe v India at Harare, 2001
India,SS Das,South Africa v India at Johannesburg, 2001/02
India,D Dasgupta,South Africa v India at Johannesburg, 2001/02
India,A Ratra,India v England at Kolkata, 2001/02
India,SB Bangar,India v England at Chennai, 2001/02
India,M Kaif,India v England at Kanpur, 2001/02
India,Sarandeep Singh,India v England at Delhi, 2001/02
India,M Kartik,India v Zimbabwe at Hyderabad (Deccan), 2001/02
India,T Yohannan,West Indies v India at Bridgetown, 2002
India,Jai P Yadav,India v West Indies at Jamshedpur, 2002/03
India,L Balaji,India v West Indies at Vadodara, 2002/03
India,PA Patel,New Zealand v India at Queenstown, 2002/03
India,G Gambhir,Bangladesh v India at Dhaka, 2003
India,AM Salvi,Bangladesh v India at Dhaka, 2003
India,A Mishra,India v South Africa at Dhaka, 2003
India,AV Kale,Bangladesh v India at Dhaka, 2003
India,IK Pathan,Australia v India at Melbourne, 2003/04
India,RS Gavaskar,Australia v India at Brisbane, 2003/04
India,RR Powar,Pakistan v India at Rawalpindi, 2003/04
India,KD Karthik,England v India at Lord's, 2004
India,MS Dhoni,Bangladesh v India at Chittagong, 2004/05
India,Joginder Sharma,Bangladesh v India at Chittagong, 2004/05
India,SK Raina,Sri Lanka v India at Dambulla, 2005
India,Y Venugopal Rao,Sri Lanka v India at Dambulla, 2005
India,RP Singh,Zimbabwe v India at Harare, 2005
India,S Sreesanth,India v Sri Lanka at Nagpur, 2005/06
India,MM Patel,India v England at Margao, 2005/06
India,VRV Singh,India v England at Jamshedpur, 2005/06
India,RV Uthappa,India v England at Indore, 2005/06
India,W Jaffer,South Africa v India at Durban, 2006/07
India,PP Chawla,Bangladesh v India at Dhaka, 2007
India,RG Sharma,Ireland v India at Belfast, 2007
India,I Sharma,India v South Africa at Belfast, 2007
India,P Kumar,India v Pakistan at Jaipur, 2007/08
India,MK Tiwary,Australia v India at Brisbane, 2007/08
India,YK Pathan,India v Pakistan at Dhaka, 2008
India,MS Gony,Hong Kong v India at Karachi, 2008
India,PP Ojha,Bangladesh v India at Karachi, 2008
India,V Kohli,Sri Lanka v India at Dambulla, 2008
India,S Badrinath,Sri Lanka v India at Dambulla, 2008
India,RA Jadeja,Sri Lanka v India at Colombo (RPS), 2008/09
India,AM Nayar,West Indies v India at Gros Islet, 2009
India,S Tyagi,India v Sri Lanka at Delhi, 2009/10
India,A Mithun,India v South Africa at Ahmedabad, 2009/10
India,M Vijay,India v South Africa at Ahmedabad, 2009/10
India,AB Dinda,Zimbabwe v India at Bulawayo, 2010
India,R Vinay Kumar,Zimbabwe v India at Bulawayo, 2010
India,UT Yadav,Zimbabwe v India at Bulawayo, 2010
India,R Ashwin,India v Sri Lanka at Harare, 2010
India,NV Ojha,India v Sri Lanka at Harare, 2010
India,Pankaj Singh,India v Sri Lanka at Harare, 2010
India,S Dhawan,India v Australia at Visakhapatnam, 2010/11
India,SS Tiwary,India v Australia at Visakhapatnam, 2010/11
India,WP Saha,India v New Zealand at Guwahati, 2010/11
India,AM Rahane,England v India at Chester-le-Street, 2011
India,VR Aaron,India v England at Mumbai, 2011/12
India,R Sharma,India v West Indies at Indore, 2011/12
India,B Kumar,India v Pakistan at Chennai, 2012/13
India,Mohammed Shami,India v Pakistan at Delhi, 2012/13
India,AT Rayudu,Zimbabwe v India at Harare, 2013
India,JD Unadkat,Zimbabwe v India at Harare, 2013
India,CA Pujara,Zimbabwe v India at Bulawayo, 2013
India,MM Sharma,Zimbabwe v India at Bulawayo, 2013
India,STR Binny,New Zealand v India at Hamilton, 2013/14
India,Parvez Rasool,Bangladesh v India at Dhaka, 2014
India,AR Patel,Bangladesh v India at Dhaka, 2014
India,DS Kulkarni,England v India at Birmingham, 2014
India,KV Sharma,India v Sri Lanka at Kolkata, 2014/15
India,KM Jadhav,India v Sri Lanka at Ranchi, 2014/15
India,MK Pandey,Zimbabwe v India at Harare, 2015
India,BB Sran,Australia v India at Perth, 2015/16
India,R Dhawan,Australia v India at Melbourne, 2015/16
India,Gurkeerat Singh,Australia v India at Melbourne, 2015/16
India,JJ Bumrah,Australia v India at Sydney, 2015/16
India,YS Chahal,Zimbabwe v India at Harare, 2016
India,KK Nair,Zimbabwe v India at Harare, 2016
India,KL Rahul,Zimbabwe v India at Harare, 2016
India,FY Fazal,Zimbabwe v India at Harare, 2016
India,HH Pandya,India v New Zealand at Dharamsala, 2016/17
India,J Yadav,India v New Zealand at Visakhapatnam, 2016/17
India,Kuldeep Yadav,West Indies v India at Port of Spain, 2017
India,SN Thakur,Sri Lanka v India at Colombo (RPS), 2017
India,SS Iyer,India v Sri Lanka at Dharamsala, 2017/18
India,Washington Sundar,India v Sri Lanka at Mohali, 2017/18
India,S Kaul,England v India at Nottingham, 2018
India,KK Ahmed,Hong Kong v India at Dubai (DSC), 2018
India,DL Chahar,Afghanistan v India at Dubai (DSC), 2018
India,RR Pant,India v West Indies at Guwahati, 2018/19
India,Mohammed Siraj,Australia v India at Adelaide, 2018/19
India,V Shankar,Australia v India at Melbourne, 2018/19
India,Shubman Gill,New Zealand v India at Hamilton, 2018/19
