TEAMNAME,NAME,DEBUTDATE 
Zimbabwe,BRM Taylor,Zimbabwe v Sri Lanka at Bulawayo, 2004
Zimbabwe,P Utseya,Zimbabwe v Sri Lanka at Bulawayo, 2004
Zimbabwe,T Mupariwa,Zimbabwe v Sri Lanka at Harare, 2004
Zimbabwe,EC Rainsford,Zimbabwe v Australia at Harare, 2004
Zimbabwe,CB Mpofu,Zimbabwe v England at Harare, 2004/05
Zimbabwe,GM Ewing,Zimbabwe v England at Harare, 2004/05
Zimbabwe,SC Williams,South Africa v Zimbabwe at Johannesburg, 2004/05
Zimbabwe,AJ Ireland,Zimbabwe v New Zealand at Bulawayo, 2005
Zimbabwe,CJ Chibhabha,Zimbabwe v New Zealand at Harare, 2005
Zimbabwe,KM Dabengwa,Zimbabwe v India at Harare, 2005
Zimbabwe,T Duffin,Zimbabwe v Kenya at Bulawayo, 2005/06
Zimbabwe,KO Meth,Zimbabwe v Kenya at Bulawayo, 2005/06
Zimbabwe,HP Rinke,Zimbabwe v Kenya at Bulawayo, 2005/06
Zimbabwe,GM Strydom,Zimbabwe v Kenya at Bulawayo, 2005/06
Zimbabwe,RS Higgins,Zimbabwe v Kenya at Bulawayo, 2005/06
Zimbabwe,TV Mufambisi,Zimbabwe v Bangladesh at Harare, 2006
Zimbabwe,TP Kamungozi,South Africa v Zimbabwe at Potchefstroom, 2006/07
Zimbabwe,TMK Mawoyo,Bangladesh v Zimbabwe at Dhaka, 2006/07
Zimbabwe,F Kasteni,Zimbabwe v Bangladesh at Harare, 2006/07
Zimbabwe,T Maruma,Zimbabwe v South Africa at Bulawayo, 2007
Zimbabwe,C Zhuwao,Ireland v Zimbabwe at Nairobi (Gym), 2008/09
Zimbabwe,RW Chakabva,Kenya v Zimbabwe at Nairobi (Gym), 2008/09
Zimbabwe,MN Waller,Bangladesh v Zimbabwe at Dhaka, 2008/09
Zimbabwe,AG Cremer,Kenya v Zimbabwe at Mombasa, 2008/09
Zimbabwe,F Mutizwa,Kenya v Zimbabwe at Mombasa, 2008/09
Zimbabwe,KM Jarvis,Zimbabwe v Kenya at Harare, 2009/10
Zimbabwe,TN Garwe,Zimbabwe v Kenya at Harare, 2009/10
Zimbabwe,GA Lamb,West Indies v Zimbabwe at Providence, 2009/10
Zimbabwe,SW Masakadza,West Indies v Zimbabwe at Providence, 2009/10
Zimbabwe,CR Ervine,Zimbabwe v India at Bulawayo, 2010
Zimbabwe,IA Nicolson,Zimbabwe v Ireland at Harare, 2010/11
Zimbabwe,BV Vitori,Zimbabwe v Bangladesh at Harare, 2011
Zimbabwe,N M'shangwe,Zimbabwe v New Zealand at Bulawayo, 2011/12
Zimbabwe,N Ncube,Zimbabwe v New Zealand at Bulawayo, 2011/12
Zimbabwe,TL Chatara,West Indies v Zimbabwe at St George's, 2012/13
Zimbabwe,CT Mutombodzi,West Indies v Zimbabwe at St George's, 2012/13
Zimbabwe,Sikandar Raza,Zimbabwe v Bangladesh at Bulawayo, 2013
Zimbabwe,MT Chinouya,Zimbabwe v India at Harare, 2013
Zimbabwe,DT Tiripano,Zimbabwe v Afghanistan at Bulawayo, 2014
