TEAMNAME,NAME,DEBUTDATE 
England,AR Caddick,England v Australia at Manchester, 1993
England,GP Thorpe,England v Australia at Manchester, 1993
England,AP Igglesden,West Indies v England at Bridgetown, 1993/94
England,MP Maynard,West Indies v England at Bridgetown, 1993/94
England,SL Watkin,West Indies v England at Bridgetown, 1993/94
England,D Gough,England v New Zealand at Birmingham, 1994
England,SD Udal,England v New Zealand at Birmingham, 1994
England,JE Benjamin,Australia v England at Sydney, 1994/95
England,C White,Australia v England at Sydney, 1994/95
England,JP Crawley,England v Zimbabwe at Sydney, 1994/95
England,PJ Martin,England v West Indies at The Oval, 1995
England,AP Wells,England v West Indies at Lord's, 1995
England,NMK Smith,South Africa v England at Cape Town, 1995/96
England,M Watkinson,South Africa v England at Johannesburg, 1995/96
England,AD Brown,England v India at The Oval, 1996
England,MA Ealham,England v India at The Oval, 1996
England,RC Irani,England v India at The Oval, 1996
England,RDB Croft,England v Pakistan at Manchester, 1996
England,DW Headley,England v Pakistan at Manchester, 1996
England,NV Knight,England v Pakistan at Manchester, 1996
England,GD Lloyd,England v Pakistan at Manchester, 1996
England,AD Mullally,England v Pakistan at Manchester, 1996
England,AJ Hollioake,England v Pakistan at Birmingham, 1996
England,CEW Silverwood,Zimbabwe v England at Bulawayo, 1996/97
England,AF Giles,England v Australia at The Oval, 1997
England,BC Hollioake,England v Australia at Lord's, 1997
England,DR Brown,England v India at Sharjah, 1997/98
England,MV Fleming,England v India at Sharjah, 1997/98
England,CJ Adams,England v South Africa at The Oval, 1998
England,DL Maddy,England v South Africa at The Oval, 1998
England,ID Austin,England v Sri Lanka at Lord's, 1998
England,MW Alleyne,Australia v England at Brisbane, 1998/99
England,VJ Wells,Australia v England at Brisbane, 1998/99
England,A Flintoff,England v Pakistan at Sharjah, 1998/99
England,CMW Read,South Africa v England at Bloemfontein, 1999/00
England,VS Solanki,South Africa v England at Bloemfontein, 1999/00
England,GP Swann,South Africa v England at Bloemfontein, 1999/00
England,ME Trescothick,England v Zimbabwe at The Oval, 2000
England,PJ Franks,England v West Indies at Nottingham, 2000
England,AP Grayson,England v South Africa at Nairobi (Gym), 2000/01
England,MP Vaughan,Sri Lanka v England at Dambulla, 2000/01
England,PD Collingwood,England v Pakistan at Birmingham, 2001
England,OA Shah,England v Australia at Bristol, 2001
England,JS Foster,Zimbabwe v England at Harare, 2001/02
England,MJ Hoggard,Zimbabwe v England at Harare, 2001/02
England,RJ Kirtley,Zimbabwe v England at Harare, 2001/02
England,JN Snape,Zimbabwe v England at Harare, 2001/02
England,RJ Sidebottom,Zimbabwe v England at Harare, 2001/02
England,AJ Tudor,England v Sri Lanka at Manchester, 2002
England,ID Blackwell,England v Zimbabwe at Colombo (RPS), 2002/03
England,GJ Batty,Australia v England at Sydney, 2002/03
England,JM Anderson,Australia v England at Melbourne, 2002/03
England,SJ Harmison,England v Sri Lanka at Brisbane, 2002/03
England,R Clarke,England v Pakistan at Manchester, 2003
England,A McGrath,England v Pakistan at Manchester, 2003
England,JO Troughton,England v Pakistan at Manchester, 2003
England,RL Johnson,England v Zimbabwe at Nottingham, 2003
England,RWT Key,England v Zimbabwe at Nottingham, 2003
England,Kabir Ali,England v Zimbabwe at Leeds, 2003
England,AJ Strauss,Sri Lanka v England at Dambulla, 2003/04
England,GO Jones,England v West Indies at Nottingham, 2004
England,SI Mahmood,England v New Zealand at Bristol, 2004
England,AG Wharf,England v India at Nottingham, 2004
England,IR Bell,Zimbabwe v England at Harare, 2004/05
England,KP Pietersen,Zimbabwe v England at Harare, 2004/05
England,SP Jones,Zimbabwe v England at Bulawayo, 2004/05
England,MJ Prior,Zimbabwe v England at Bulawayo, 2004/05
England,J Lewis,England v Bangladesh at The Oval, 2005
England,CT Tremlett,England v Bangladesh at Nottingham, 2005
England,LE Plunkett,Pakistan v England at Lahore, 2005/06
England,G Chapple,Ireland v England at Belfast, 2006
England,JWM Dalrymple,Ireland v England at Belfast, 2006
England,EC Joyce,Ireland v England at Belfast, 2006
England,TT Bresnan,England v Sri Lanka at Lord's, 2006
England,AGR Loudon,England v Sri Lanka at Chester-le-Street, 2006
England,AN Cook,England v Sri Lanka at Manchester, 2006
England,SCJ Broad,England v Pakistan at Cardiff, 2006
England,MH Yardy,England v Pakistan at Nottingham, 2006
England,PA Nixon,Australia v England at Melbourne, 2006/07
England,MS Panesar,Australia v England at Melbourne, 2006/07
England,MB Loye,Australia v England at Brisbane, 2006/07
England,RS Bopara,Australia v England at Sydney, 2006/07
England,AD Mascarenhas,England v West Indies at Lord's, 2007
England,LJ Wright,England v India at The Oval, 2007
England,P Mustard,Sri Lanka v England at Dambulla, 2007/08
England,TR Ambrose,England v New Zealand at Chester-le-Street, 2008
England,SR Patel,Scotland v England at Edinburgh, 2008
England,EJG Morgan,England v West Indies at Bristol, 2009
England,JL Denly,Ireland v England at Belfast, 2009
England,AU Rashid,Ireland v England at Belfast, 2009
England,IJL Trott,Ireland v England at Belfast, 2009
England,G Onions,England v Australia at Chester-le-Street, 2009
England,SM Davies,Australia v England at Centurion, 2009/10
England,C Kieswetter,Bangladesh v England at Dhaka, 2009/10
England,JC Tredwell,Bangladesh v England at Dhaka, 2009/10
England,A Shahzad,Bangladesh v England at Chattogram, 2009/10
England,CR Woakes,Australia v England at Sydney, 2010/11
England,ST Finn,Australia v England at Brisbane, 2010/11
England,JW Dernbach,England v Sri Lanka at The Oval, 2011
England,SG Borthwick,Ireland v England at Dublin, 2011
England,BA Stokes,Ireland v England at Dublin, 2011
England,JWA Taylor,Ireland v England at Dublin, 2011
England,JM Bairstow,England v India at Cardiff, 2011
England,SC Meaker,India v England at Mumbai, 2011/12
England,DR Briggs,England v Pakistan at Dubai (DSC), 2011/12
England,JC Buttler,England v Pakistan at Dubai (DSC), 2011/12
England,JE Root,India v England at Rajkot, 2012/13
England,GS Ballance,Ireland v England at Dublin (Malahide), 2013
England,MA Carberry,Ireland v England at Dublin (Malahide), 2013
England,WB Rankin,Ireland v England at Dublin (Malahide), 2013
England,CJ Jordan,England v Australia at Southampton, 2013
England,MM Ali,West Indies v England at North Sound, 2013/14
England,MJ Lumb,West Indies v England at North Sound, 2013/14
England,SD Parry,West Indies v England at North Sound, 2013/14
England,HF Gurney,Scotland v England at Aberdeen, 2014
England,AD Hales,England v India at Cardiff, 2014
England,ZS Ansari,Ireland v England at Dublin (Malahide), 2015
England,JJ Roy,Ireland v England at Dublin (Malahide), 2015
England,JM Vince,Ireland v England at Dublin (Malahide), 2015
England,DJ Willey,Ireland v England at Dublin (Malahide), 2015
England,MA Wood,Ireland v England at Dublin (Malahide), 2015
England,SW Billings,England v New Zealand at Birmingham, 2015
England,RJW Topley,England v Australia at Manchester, 2015
England,LA Dawson,England v Pakistan at Cardiff, 2016
England,JT Ball,Bangladesh v England at Dhaka, 2016/17
England,BM Duckett,Bangladesh v England at Dhaka, 2016/17
England,TS Roland-Jones,England v South Africa at Lord's, 2017
England,TK Curran,England v West Indies at Southampton, 2017
England,C Overton,England v Australia at Chester-le-Street, 2018
England,SM Curran,England v Australia at Manchester, 2018
England,OP Stone,Sri Lanka v England at Dambulla, 2018/19
England,JC Archer,Ireland v England at Dublin (Malahide), 2019
England,BT Foakes,Ireland v England at Dublin (Malahide), 2019
England,DJ Malan,Ireland v England at Dublin (Malahide), 2019
