TEAMNAME,NAME,DEBUTDATE 
Sri Lanka,UDU Chandana,Australia v Sri Lanka at Sharjah, 1993/94
Sri Lanka,AMN Munasinghe,Australia v Sri Lanka at Sharjah, 1993/94
Sri Lanka,AP Weerakkody,New Zealand v Sri Lanka at Sharjah, 1993/94
Sri Lanka,S Ranatunga,Sri Lanka v Pakistan at Colombo (RPS), 1994
Sri Lanka,HDPK Dharmasena,Sri Lanka v Pakistan at Colombo (RPS), 1994
Sri Lanka,KJ Silva,New Zealand v Sri Lanka at Christchurch, 1994/95
Sri Lanka,JC Gamage,New Zealand v Sri Lanka at Hamilton, 1994/95
Sri Lanka,MC Mendis,New Zealand v Sri Lanka at Auckland, 1994/95
Sri Lanka,CI Dunusinghe,Bangladesh v Sri Lanka at Sharjah, 1994/95
Sri Lanka,KEA Upashantha,Pakistan v Sri Lanka at Rawalpindi, 1995/96
Sri Lanka,KSC de Silva,Kenya v Sri Lanka at Nairobi (Gym), 1996/97
Sri Lanka,DNT Zoysa,New Zealand v Sri Lanka at Christchurch, 1996/97
Sri Lanka,SKL de Silva,Sri Lanka v India at Colombo (RPS), 1997
Sri Lanka,RP Arnold,South Africa v Sri Lanka at Lahore, 1997/98
Sri Lanka,DPMD Jayawardene,Sri Lanka v Zimbabwe at Colombo (RPS), 1997/98
Sri Lanka,DA Gunawardene,Sri Lanka v Zimbabwe at Colombo (SSC), 1997/98
Sri Lanka,MN Nawaz,Sri Lanka v Zimbabwe at Colombo (SSC), 1997/98
Sri Lanka,ASA Perera,Sri Lanka v India at Colombo (RPS), 1998
Sri Lanka,MRCN Bandaratilleke,Sri Lanka v New Zealand at Colombo (RPS), 1998
Sri Lanka,TT Samaraweera,India v Sri Lanka at Sharjah, 1998/99
Sri Lanka,PDRL Perera,England v Sri Lanka at Perth, 1998/99
Sri Lanka,JWHD Boteju,India v Sri Lanka at Nagpur, 1998/99
Sri Lanka,SI de Saram,Sri Lanka v Australia at Galle, 1999
Sri Lanka,LPC Silva,Sri Lanka v Australia at Colombo (RPS), 1999
Sri Lanka,TM Dilshan,Zimbabwe v Sri Lanka at Bulawayo, 1999/00
Sri Lanka,IS Gallage,Zimbabwe v Sri Lanka at Harare, 1999/00
Sri Lanka,K Weeraratne,Bangladesh v Sri Lanka at Dhaka, 2000
Sri Lanka,KC Sangakkara,Sri Lanka v Pakistan at Galle, 2000
Sri Lanka,CRD Fernando,South Africa v Sri Lanka at Paarl, 2000/01
Sri Lanka,WCA Ganegama,Pakistan v Sri Lanka at Sharjah, 2000/01
Sri Lanka,TCB Fernando,Sri Lanka v Zimbabwe at Sharjah, 2001/02
Sri Lanka,RAP Nissanka,Pakistan v Sri Lanka at Sharjah, 2001/02
Sri Lanka,KHRK Fernando,Sri Lanka v Bangladesh at Colombo (SSC), 2002
Sri Lanka,MKGCP Lakshitha,Sri Lanka v Bangladesh at Colombo (SSC), 2002
Sri Lanka,PW Gunaratne,Sri Lanka v Bangladesh at Colombo (RPS), 2002
Sri Lanka,J Mubarak,South Africa v Sri Lanka at Johannesburg, 2002/03
Sri Lanka,HAPW Jayawardene,Pakistan v Sri Lanka at Sharjah, 2002/03
Sri Lanka,KS Lokuarachchi,Kenya v Sri Lanka at Sharjah, 2002/03
Sri Lanka,D Gamage,Sri Lanka v New Zealand at Dambulla, 2003
