TEAMNAME,NAME,DEBUTDATE 
West Indies,MV Nagamootoo,West Indies v Zimbabwe at Chester-le-Street, 2000
West Indies,RR Sarwan,England v West Indies at Nottingham, 2000
West Indies,KCB Jeremy,Sri Lanka v West Indies at Nairobi (Gym), 2000/01
West Indies,MN Samuels,Sri Lanka v West Indies at Nairobi (Gym), 2000/01
West Indies,MI Black,Australia v West Indies at Brisbane, 2000/01
West Indies,CEL Stuart,Australia v West Indies at Sydney, 2000/01
West Indies,LV Garrick,West Indies v South Africa at Kingston, 2000/01
West Indies,JJC Lawson,Sri Lanka v West Indies at Colombo (RPS), 2001/02
West Indies,D Brown,West Indies v Zimbabwe at Kandy, 2001/02
West Indies,RO Hinds,West Indies v Zimbabwe at Kandy, 2001/02
West Indies,RS Morton,Pakistan v West Indies at Sharjah, 2001/02
West Indies,DBL Powell,Bangladesh v West Indies at Dhaka, 2002/03
West Indies,OAC Banks,West Indies v Australia at Kingston, 2003
West Indies,CS Baugh,West Indies v Australia at Kingston, 2003
West Indies,DS Smith,West Indies v Australia at Kingston, 2003
West Indies,RO Hurley,West Indies v Australia at Port of Spain, 2003
West Indies,DE Bernard,West Indies v Australia at Port of Spain, 2003
West Indies,JE Taylor,West Indies v Sri Lanka at Kingstown, 2003
West Indies,R Rampaul,Zimbabwe v West Indies at Bulawayo, 2003/04
West Indies,FH Edwards,Zimbabwe v West Indies at Harare, 2003/04
West Indies,DR Smith,South Africa v West Indies at Cape Town, 2003/04
West Indies,DJ Bravo,West Indies v England at Georgetown, 2003/04
West Indies,IDR Bradshaw,West Indies v England at Gros Islet, 2003/04
West Indies,TL Best,West Indies v Bangladesh at Kingstown, 2004
West Indies,DJG Sammy,New Zealand v West Indies at Southampton, 2004
West Indies,XM Marshall,Australia v West Indies at Melbourne, 2004/05
West Indies,N Deonarine,India v West Indies at Dambulla, 2005
West Indies,D Ramdin,India v West Indies at Dambulla, 2005
West Indies,DK Butler,Sri Lanka v West Indies at Dambulla, 2005
West Indies,RR Ramdass,Sri Lanka v West Indies at Dambulla, 2005
West Indies,S Chattergoon,West Indies v Zimbabwe at Georgetown, 2006
West Indies,D Mohammed,West Indies v Zimbabwe at Gros Islet, 2006
West Indies,LMP Simmons,Pakistan v West Indies at Faisalabad, 2006/07
West Indies,RR Emrit,India v West Indies at Chennai, 2006/07
West Indies,KA Pollard,West Indies v South Africa at St George's, 2006/07
West Indies,ACL Richards,Scotland v West Indies at Dublin, 2007
West Indies,BA Parchment,Zimbabwe v West Indies at Harare, 2007/08
West Indies,PA Browne,South Africa v West Indies at Port Elizabeth, 2007/08
West Indies,SJ Benn,West Indies v Sri Lanka at Port of Spain, 2007/08
West Indies,ADS Fletcher,West Indies v Australia at Kingstown, 2008
West Indies,SE Findlay,West Indies v Australia at Basseterre, 2008
West Indies,NO Miller,West Indies v Australia at Basseterre, 2008
West Indies,LR Johnson,Bermuda v West Indies at King City (NW), 2008
West Indies,BP Nash,Bermuda v West Indies at King City (NW), 2008
West Indies,KAJ Roach,Bermuda v West Indies at King City (NW), 2008
West Indies,LS Baker,Pakistan v West Indies at Abu Dhabi, 2008/09
West Indies,DM Bravo,West Indies v India at Kingston, 2009
