TEAMNAME,NAME,DEBUTDATE 
Pakistan,Rashid Latif,England v Pakistan at Nottingham, 1992
Pakistan,Ata-ur-Rehman,Pakistan v West Indies at Perth, 1992/93
Pakistan,Arshad Khan,Pakistan v Zimbabwe at Sharjah, 1992/93
Pakistan,Ghulam Ali,Pakistan v West Indies at Cape Town, 1992/93
Pakistan,Basit Ali,West Indies v Pakistan at Kingston, 1992/93
Pakistan,Aamer Nazir,West Indies v Pakistan at Port of Spain, 1992/93
Pakistan,Nadeem Khan,West Indies v Pakistan at Port of Spain, 1992/93
Pakistan,Aamer Hanif,Pakistan v Sri Lanka at Sharjah, 1993/94
Pakistan,Irfan Bhatti,Pakistan v Zimbabwe at Lahore, 1993/94
Pakistan,Ashfaq Ahmed,Sri Lanka v Pakistan at Colombo (RPS), 1994
Pakistan,Kabir Khan,Sri Lanka v Pakistan at Colombo (SSC), 1994
Pakistan,Shakeel Ahmed jnr,Zimbabwe v Pakistan at Harare, 1994/95
Pakistan,Naeem Ashraf,India v Pakistan at Sharjah, 1994/95
Pakistan,Zafar Iqbal,India v Pakistan at Sharjah, 1994/95
Pakistan,Javed Qadeer,Pakistan v Sri Lanka at Sharjah, 1994/95
Pakistan,Mahmood Hamid,Pakistan v Sri Lanka at Sharjah, 1994/95
Pakistan,Mohammad Akram,Pakistan v Sri Lanka at Gujranwala, 1995/96
Pakistan,Saleem Elahi,Pakistan v Sri Lanka at Gujranwala, 1995/96
Pakistan,Saqlain Mushtaq,Pakistan v Sri Lanka at Gujranwala, 1995/96
Pakistan,Saeed Azad,Pakistan v Sri Lanka at Rawalpindi, 1995/96
Pakistan,Shadab Kabir,England v Pakistan at Nottingham, 1996
Pakistan,Shahid Anwar,England v Pakistan at Nottingham, 1996
Pakistan,Shahid Nazir,England v Pakistan at Nottingham, 1996
Pakistan,Azhar Mahmood,India v Pakistan at Toronto, 1996
Pakistan,Shahid Afridi,Kenya v Pakistan at Nairobi (Aga), 1996/97
Pakistan,Hasan Raza,Pakistan v Zimbabwe at Quetta, 1996/97
Pakistan,Abdul Razzaq,Pakistan v Zimbabwe at Lahore, 1996/97
Pakistan,Azam Khan,Pakistan v Zimbabwe at Lahore, 1996/97
Pakistan,Zahoor Elahi,Pakistan v Zimbabwe at Peshawar, 1996/97
Pakistan,Mohammad Wasim,Pakistan v New Zealand at Karachi, 1996/97
Pakistan,Mohammad Zahid,Pakistan v New Zealand at Karachi, 1996/97
Pakistan,Mujahid Jamshed,Australia v Pakistan at Hobart, 1996/97
Pakistan,Ijaz Ahmed jnr,Pakistan v West Indies at Perth, 1996/97
Pakistan,Mohammad Hussain,New Zealand v Pakistan at Mohali, 1997
Pakistan,Akhtar Sarfraz,Pakistan v West Indies at Sharjah, 1997/98
Pakistan,Manzoor Akhtar,India v Pakistan at Sharjah, 1997/98
Pakistan,Fazl-e-Akbar,India v Pakistan at Dhaka, 1997/98
Pakistan,Mohammad Yousuf,Zimbabwe v Pakistan at Harare, 1997/98
Pakistan,Shoaib Akhtar,Zimbabwe v Pakistan at Harare, 1997/98
Pakistan,Asif Mahmood,Pakistan v Australia at Peshawar, 1998/99
Pakistan,Wajahatullah Wasti,Bangladesh v Pakistan at Dhaka, 1998/99
Pakistan,Imran Nazir,Pakistan v Sri Lanka at Visakhapatnam, 1998/99
Pakistan,Shabbir Ahmed,Pakistan v West Indies at Toronto, 1999
Pakistan,Shoaib Malik,Pakistan v West Indies at Sharjah, 1999/00
Pakistan,Imran Abbas,Pakistan v Sri Lanka at Karachi, 1999/00
Pakistan,Yasir Arafat,Pakistan v Sri Lanka at Karachi, 1999/00
Pakistan,Younis Khan,Pakistan v Sri Lanka at Karachi, 1999/00
Pakistan,Faisal Iqbal,Pakistan v Sri Lanka at Lahore, 1999/00
Pakistan,Irfan Fazil,West Indies v Pakistan at St George's, 2000
Pakistan,Atiq-uz-Zaman,New Zealand v Pakistan at Singapore, 2000
Pakistan,Imran Farhat,New Zealand v Pakistan at Auckland, 2000/01
Pakistan,Humayun Farhat,Pakistan v Sri Lanka at Sharjah, 2000/01
Pakistan,Mohammad Sami,Pakistan v Sri Lanka at Sharjah, 2000/01
